"DO NOT MODIFY OR REMOVE - Component ID","English (US)","Croatian","Czech","Dutch","French","German","Hungarian","Italian","Polish","Portuguese","Romanian","Slovak","Spanish"
"njFz_53-zG","What you get with Pro","Otključaj puni potencijal","Odemkni plný potenciál","Ontgrendel het volledige potentieel","Libérez tout le potentiel","Schöpfe das volle Potenzial aus","Aknázd ki a teljes potenciált","Sblocca tutto il potenziale","Odblokuj pełnię możliwości","Desbloqueia todo o potencial","Deblochează tot potențialul","Odomkni plný potenciál","Desbloquea todo el potencial"
"T2VMVeS3wv","📡 Works with zero bars
Repeater & activation data, even with no signal.","📡 Radi bez signala","📡 Funguje bez signálu","📡 Werkt zonder bereik","📡 Fonctionne sans réseau","📡 Funktioniert ohne Empfang","📡 Térerő nélkül is megy","📡 Funziona senza segnale","📡 Działa bez zasięgu","📡 Funciona sem rede","📡 Merge fără semnal","📡 Funguje bez signálu","📡 Funciona sin cobertura"
"a70c33de6c","✓","🛰️ Repetitori u tvom dosegu","🛰️ Převaděče ve tvém dosahu","🛰️ Repeaters die je haalt","🛰️ Les relais que tu touches","🛰️ Erreichbare Relais","🛰️ Elérhető átjátszók","🛰️ I ponti che prendi davvero","🛰️ Przemienniki w zasięgu","🛰️ Repetidores ao teu alcance","🛰️ Releele pe care le prinzi","🛰️ Prevádzače v tvojom dosahu","🛰️ Repetidores a tu alcance"
"6Peq-0nRKg","🛰️ Repeaters you can reach
Know which repeaters you can hit from where you stand.","🛰️ Repetitori u tvom dosegu","🛰️ Převaděče ve tvém dosahu","🛰️ Repeaters die je haalt","🛰️ Les relais que tu touches","🛰️ Erreichbare Relais","🛰️ Elérhető átjátszók","🛰️ I ponti che prendi davvero","🛰️ Przemienniki w zasięgu","🛰️ Repetidores ao teu alcance","🛰️ Releele pe care le prinzi","🛰️ Prevádzače v tvojom dosahu","🛰️ Repetidores a tu alcance"
"e685f9890d","✓","📶 Stvarna pokrivenost svakog repetitora","📶 Skutečné pokrytí každého převaděče","📶 Echte dekking, elke repeater","📶 Couverture réelle, chaque relais","📶 Echte Abdeckung, jedes Relais","📶 Valós lefedettség, minden átjátszó","📶 Copertura reale di ogni ponte","📶 Realny zasięg każdego przemiennika","📶 Cobertura real de cada repetidor","📶 Acoperire reală, orice releu","📶 Skutočné pokrytie každého prevádzača","📶 Cobertura real de cada repetidor"
"1Cq_cRos6U","📶 Real coverage, any repeater
RF coverage prediction for every single repeater.","📶 Stvarna pokrivenost svakog repetitora","📶 Skutečné pokrytí každého převaděče","📶 Echte dekking, elke repeater","📶 Couverture réelle, chaque relais","📶 Echte Abdeckung, jedes Relais","📶 Valós lefedettség, minden átjátszó","📶 Copertura reale di ogni ponte","📶 Realny zasięg każdego przemiennika","📶 Cobertura real de cada repetidor","📶 Acoperire reală, orice releu","📶 Skutočné pokrytie každého prevádzača","📶 Cobertura real de cada repetidor"
"f5caf10ca1","✓","💙 Pomaže da app ostane besplatna","💙 Pomáhá udržet aplikaci zdarma","💙 Houdt de app gratis","💙 Aide à garder l'app gratuite","💙 Hält die App kostenlos","💙 Segít ingyenesen tartani az appot","💙 Aiuta a tenere l'app gratis","💙 Pomaga utrzymać aplikację za darmo","💙 Ajuda a manter a app grátis","💙 Ajută la menținerea aplicației gratuite","💙 Pomáha udržať aplikáciu zadarmo","💙 Ayuda a mantener la app gratis"
"2f31dc07cd","💙 Helps keep the app free
Your Pro keeps HamQRG free for the whole community.","💙 Pomaže da app ostane besplatna","💙 Pomáhá udržet aplikaci zdarma","💙 Houdt de app gratis","💙 Aide à garder l'app gratuite","💙 Hält die App kostenlos","💙 Segít ingyenesen tartani az appot","💙 Aiuta a tenere l'app gratis","💙 Pomaga utrzymać aplikację za darmo","💙 Ajuda a manter a app grátis","💙 Ajută la menținerea aplicației gratuite","💙 Pomáha udržať aplikáciu zadarmo","💙 Ayuda a mantener la app gratis"
"feb45d85de","✓","💙 Pomaže da app ostane besplatna","💙 Pomáhá udržet aplikaci zdarma","💙 Houdt de app gratis","💙 Aide à garder l'app gratuite","💙 Hält die App kostenlos","💙 Segít ingyenesen tartani az appot","💙 Aiuta a tenere l'app gratis","💙 Pomaga utrzymać aplikację za darmo","💙 Ajuda a manter a app grátis","💙 Ajută la menținerea aplicației gratuite","💙 Pomáha udržať aplikáciu zadarmo","💙 Ayuda a mantener la app gratis"
"T-H24vWCXE","BEST VALUE","NAJBOLJA VRIJEDNOST","NEJVÝHODNĚJŠÍ NABÍDKA","BESTE WAARDE","MEILLEUR RAPPORT QUALITÉ-PRIX","BESTES ANGEBOT","LEGJOBB AJÁNLAT","MIGLIOR OFFERTA","NAJLEPSZA CENA","MELHOR VALOR","CEA MAI BUNĂ OFERTĂ","NAJVÝHODNEJŠIA PONUKA","MEJOR VALOR"
"fcc4f6dddd","Annual, {{ product.price_per_period }}","◉ Godišnje, {{ product.price_per_period }}","◉ Ročně, {{ product.price_per_period }}","◉ Jaarlijks, {{ product.price_per_period }}","◉ Annuel, {{ product.price_per_period }}","◉ Jährlich, {{ product.price_per_period }}","◉ Éves, {{ product.price_per_period }}","◉ Annuale, {{ product.price_per_period }}","◉ Rocznie, {{ product.price_per_period }}","◉ Anual, {{ product.price_per_period }}","◉ Anual, {{ product.price_per_period }}","◉ Ročne, {{ product.price_per_period }}","◉ Anual, {{ product.price_per_period }}"
"4851f1a6c5","Try free for {{ product.offer_period_with_unit }}, then {{ product.price_per_period_abbreviated }}","Isprobaj besplatno {{ product.offer_period_with_unit }}, zatim {{ product.price_per_period_abbreviated }}","Vyzkoušej zdarma na {{ product.offer_period_with_unit }}, poté {{ product.price_per_period_abbreviated }}","Probeer {{ product.offer_period_with_unit }} gratis, daarna {{ product.price_per_period_abbreviated }}","Essai gratuit de {{ product.offer_period_with_unit }}, puis {{ product.price_per_period_abbreviated }}","{{ product.offer_period_with_unit }} gratis testen, dann {{ product.price_per_period_abbreviated }}","Próbáld ki ingyen {{ product.offer_period_with_unit }} ideig, majd {{ product.price_per_period_abbreviated }}","Prova gratis per {{ product.offer_period_with_unit }}, poi {{ product.price_per_period_abbreviated }}","Wypróbuj za darmo przez {{ product.offer_period_with_unit }}, potem {{ product.price_per_period_abbreviated }}","Experimenta grátis durante {{ product.offer_period_with_unit }}, depois {{ product.price_per_period_abbreviated }}","Încearcă gratis {{ product.offer_period_with_unit }}, apoi {{ product.price_per_period_abbreviated }}","Vyskúšaj zadarmo na {{ product.offer_period_with_unit }}, potom {{ product.price_per_period_abbreviated }}","Prueba gratis {{ product.offer_period_with_unit }} y luego {{ product.price_per_period_abbreviated }}"
"af7de56878","Just {{ product.price_per_month }}/mo
Save {{ product.relative_discount }}","Samo {{ product.price_per_month }}/mj.
Uštedi {{ product.relative_discount }}","Jen {{ product.price_per_month }}/měs.
Ušetři {{ product.relative_discount }}","Slechts {{ product.price_per_month }}/mnd
Bespaar {{ product.relative_discount }}","Seulement {{ product.price_per_month }}/mois
Économisez {{ product.relative_discount }}","Nur {{ product.price_per_month }}/Mon.
Spare {{ product.relative_discount }}","Csak {{ product.price_per_month }}/hó
Megtakarítás: {{ product.relative_discount }}","Solo {{ product.price_per_month }}/mese
Risparmia {{ product.relative_discount }}","Tylko {{ product.price_per_month }}/mies.
Oszczędzasz {{ product.relative_discount }}","Apenas {{ product.price_per_month }}/mês
Poupa {{ product.relative_discount }}","Doar {{ product.price_per_month }}/lună
Economisești {{ product.relative_discount }}","Len {{ product.price_per_month }}/mes.
Ušetri {{ product.relative_discount }}","Solo {{ product.price_per_month }}/mes
Ahorra {{ product.relative_discount }}"
"76d8a77c8d","Try free for {{ product.offer_period_with_unit }}, then {{ product.price_per_period_abbreviated }}","Isprobaj besplatno {{ product.offer_period_with_unit }}, zatim {{ product.price_per_period_abbreviated }}","Vyzkoušej zdarma na {{ product.offer_period_with_unit }}, poté {{ product.price_per_period_abbreviated }}","Probeer {{ product.offer_period_with_unit }} gratis, daarna {{ product.price_per_period_abbreviated }}","Essai gratuit de {{ product.offer_period_with_unit }}, puis {{ product.price_per_period_abbreviated }}","{{ product.offer_period_with_unit }} gratis testen, dann {{ product.price_per_period_abbreviated }}","Próbáld ki ingyen {{ product.offer_period_with_unit }} ideig, majd {{ product.price_per_period_abbreviated }}","Prova gratis per {{ product.offer_period_with_unit }}, poi {{ product.price_per_period_abbreviated }}","Wypróbuj za darmo przez {{ product.offer_period_with_unit }}, potem {{ product.price_per_period_abbreviated }}","Experimenta grátis durante {{ product.offer_period_with_unit }}, depois {{ product.price_per_period_abbreviated }}","Încearcă gratis {{ product.offer_period_with_unit }}, apoi {{ product.price_per_period_abbreviated }}","Vyskúšaj zadarmo na {{ product.offer_period_with_unit }}, potom {{ product.price_per_period_abbreviated }}","Prueba gratis {{ product.offer_period_with_unit }} y luego {{ product.price_per_period_abbreviated }}"
"7d6b7ce048","Monthly, {{ product.price_per_period }}
Cancel anytime","○ Mjesečno, {{ product.price_per_period }}
Otkaži bilo kada","○ Měsíčně, {{ product.price_per_period }}
Zrušení kdykoli","○ Maandelijks, {{ product.price_per_period }}
Opzegbaar wanneer je wilt","○ Mensuel, {{ product.price_per_period }}
Annulable à tout moment","○ Monatlich, {{ product.price_per_period }}
Jederzeit kündbar","○ Havi, {{ product.price_per_period }}
Bármikor lemondható","○ Mensile, {{ product.price_per_period }}
Annulla in qualsiasi momento","○ Miesięcznie, {{ product.price_per_period }}
Anuluj w każdej chwili","○ Mensal, {{ product.price_per_period }}
Cancela quando quiseres","○ Lunar, {{ product.price_per_period }}
Anulezi oricând","○ Mesačne, {{ product.price_per_period }}
Zrušenie kedykoľvek","○ Mensual, {{ product.price_per_period }}
Cancela cuando quieras"
